OBJECTID,INT_REFNO,PREFIX,UDI,SYMBOL_NAM,BDNAME,BDNUM,TEXT_NBR,SHAPE_Length,SHAPE_Area
1,-2144134800,REFNO,23152.00,WARDAREA,Phillips West,90,90,0.0458010635867905,0.000113021619374508
2,-2144131300,REFNO,23187.00,WARDAREA,Downtown West,87,87,0.0636714183006916,0.000219964935764469
3,-2144131200,REFNO,23188.00,WARDAREA,Downtown East,88,88,0.045178716610103,0.000108674833588348
4,0,REFNO,23189.00,WARDAREA,Ventura Village,89,89,0.0595897553959947,0.000133868550431969
5,-2144137100,REFNO,23129.00,WARDAREA,Sumner - Glenwood,29,29,0.0355354584429022,6.08563764914774e-05
6,-2144139900,REFNO,23101.00,WARDAREA,Shingle Creek,1,01,0.0550476247786405,0.000147488024002561
7,-2144139800,REFNO,23102.00,WARDAREA,Lind - Bohanon,2,02,0.0677689101151115,0.00023747412464452
8,-2144139600,REFNO,23104.00,WARDAREA,Webber - Camden,4,04,0.0747755108516475,0.0002733729453072
9,-2144138600,REFNO,23114.00,WARDAREA,Bottineau,14,14,0.0383956082972691,8.35153702995673e-05
10,-2144139700,REFNO,23103.00,WARDAREA,Victory,3,03,0.0687205353345791,0.000202235501607261
11,0,REFNO,23108.00,WARDAREA,Humboldt Industrial Area,8,08,0.049060203725379,8.10607323535934e-05
12,-2144133700,REFNO,23163.00,WARDAREA,Howe,63,63,0.082525451391239,0.000313991904738726
13,-2144133600,REFNO,23164.00,WARDAREA,Hiawatha,64,64,0.0969061269391233,0.000366367849397838
14,-2144133200,REFNO,23168.00,WARDAREA,Windom,68,68,0.0638565898683311,0.00021668725478423
15,-2144132400,REFNO,23176.00,WARDAREA,Ericsson,76,76,0.0839302938286907,0.000268890779955697
16,-2144132300,REFNO,23177.00,WARDAREA,Field,77,77,0.0461650230939927,0.000102040126229579
17,-2144132200,REFNO,23178.00,WARDAREA,Page,78,78,0.0406378088977679,9.71083996560184e-05
18,-2144136300,REFNO,23137.00,WARDAREA,Como,37,37,0.0918229557650969,0.000333283752452109
19,-2144136200,REFNO,23138.00,WARDAREA,Cedar Riverside,38,38,0.0861871802730527,0.00016965848547258
20,-2144136100,REFNO,23139.00,WARDAREA,Prospect Park - East River Road,39,39,0.0829552527151703,0.000376524965526266
21,-2144136000,REFNO,23140.00,WARDAREA,University of Minnesota,40,40,0.0736054453245079,0.000193877369336826
22,-2144137600,REFNO,23124.00,WARDAREA,Jordan,24,24,0.0683346689929362,0.000235488543788433
23,-2144137500,REFNO,23125.00,WARDAREA,Hawthorne,25,25,0.0672115103421596,0.000279453881096338
24,-2144137400,REFNO,23126.00,WARDAREA,Willard - Hay,26,26,0.0884453122318967,0.000313130189979572
25,-2144137300,REFNO,23127.00,WARDAREA,Near - North,27,27,0.09602751052764,0.000313745926914496
26,-2144137200,REFNO,23128.00,WARDAREA,Harrison,28,28,0.0779126810667193,0.000168189225848907
27,-2144136900,REFNO,23131.00,WARDAREA,Loring Park,31,31,0.0549523327872962,0.000138218560970154
28,-2144136800,REFNO,23132.00,WARDAREA,Steven's Square - Loring Heights,32,32,0.0422616193926179,5.491371659883e-05
29,-2144131900,REFNO,23181.00,WARDAREA,Minnehaha,81,81,0.0660833329293366,0.000175857221425013
30,-2144131800,REFNO,23182.00,WARDAREA,Diamond Lake,82,82,0.0940129650548708,0.000304041817673331
31,-2144133800,REFNO,23162.00,WARDAREA,Cooper,62,62,0.0552716047636615,0.000195471139510729
32,-2144133500,REFNO,23165.00,WARDAREA,Tangletown,65,65,0.0577040125019057,0.000204680780303406
33,-2144131400,REFNO,23186.00,WARDAREA,North Loop,86,86,0.0736271705902835,0.000252567764623862
34,-2144132100,REFNO,23179.00,WARDAREA,Hale,79,79,0.0516901065393331,0.000150240528423858
35,-2144132000,REFNO,23180.00,WARDAREA,Keewaydin,80,80,0.070074218039387,0.000259916911877415
36,-2144132800,REFNO,23172.00,WARDAREA,Fulton,72,72,0.0661021956664091,0.000258112130614694
37,-2144132700,REFNO,23173.00,WARDAREA,Lynnhurst,73,73,0.0697277725659717,0.000293737204287792
38,-2144134200,REFNO,23158.00,WARDAREA,Bancroft,58,58,0.0447471664956883,0.000109058866964569
39,-2144134100,REFNO,23159.00,WARDAREA,Standish,59,59,0.067351289661099,0.000240860305134811
40,-2144134000,REFNO,23160.00,WARDAREA,Seward,60,60,0.0852325019758018,0.000297984929780561
41,-2144133900,REFNO,23161.00,WARDAREA,Longfellow,61,61,0.0760183377998272,0.000251833962522862
42,-2144135500,REFNO,23145.00,WARDAREA,Lowry Hill East,45,45,0.051042384328245,0.000121480801986934
43,-2144135300,REFNO,23147.00,WARDAREA,South Uptown,47,47,0.0416839467507146,0.000108692807452603
44,-2144134800,REFNO,23152.00,WARDAREA,East Phillips,92,92,0.0474250332847299,0.00011827276308281
45,-2144139500,REFNO,23105.00,WARDAREA,Cleveland,5,05,0.0420309715737354,0.000110427707418271
46,-2144131700,REFNO,23183.00,WARDAREA,Wenonah,83,83,0.0790524814042738,0.000213953382022196
47,-2144138500,REFNO,23115.00,WARDAREA,Holland,15,15,0.0541592076854769,0.000157613826558231
48,-2144138400,REFNO,23116.00,WARDAREA,Audubon Park,16,16,0.061454416799409,0.000197097695826514
49,-2144132600,REFNO,23174.00,WARDAREA,Regina,74,74,0.0387815675946537,8.73494248022184e-05
50,-2144132500,REFNO,23175.00,WARDAREA,Northrop,75,75,0.0600305934693761,0.000207687778318921
51,-2144138300,REFNO,23117.00,WARDAREA,Sheridan,17,17,0.0487679634076535,0.00011385940947151
52,-2144138200,REFNO,23118.00,WARDAREA,Logan Park,18,18,0.0385946016706279,9.11959971794471e-05
53,-2144138100,REFNO,23119.00,WARDAREA,Windom Park,19,19,0.0660459827370003,0.000178268867562671
54,-2144133100,REFNO,23169.00,WARDAREA,Linden Hills,69,69,0.0811568392385899,0.000408714970918552
55,-2144133000,REFNO,23170.00,WARDAREA,East Harriet,70,70,0.0790854830022535,0.000366664922339477
56,-2144132900,REFNO,23171.00,WARDAREA,King Field,71,71,0.0633813213340544,0.000246158854549489
57,-2144131600,REFNO,23184.00,WARDAREA,Morris Park,84,84,0.0632800526780754,0.000159204925960421
58,-2144131500,REFNO,23185.00,WARDAREA,Mid - City Industrial,85,85,0.084056537163755,0.000311147904840948
59,-2144134800,REFNO,23152.00,WARDAREA,Midtown Phillips,91,91,0.0419017268660155,0.000109482996877908
60,-2144135000,REFNO,23150.00,WARDAREA,Bryn - Mawr,50,50,0.112950823672318,0.000381877184610788
61,-2144138000,REFNO,23120.00,WARDAREA,Northeast Park,20,20,0.0999046471201035,0.000216373628872751
62,-2144137900,REFNO,23121.00,WARDAREA,St. Anthony West,21,21,0.0530317280793353,0.000144578897632585
63,-2144137800,REFNO,23122.00,WARDAREA,St. Anthony East,22,22,0.0306450080311217,5.96717935996865e-05
64,-2144134600,REFNO,23154.00,WARDAREA,Central,54,54,0.0526520751737987,0.000172197199513904
65,-2144134500,REFNO,23155.00,WARDAREA,Powderhorn Park,55,55,0.0588765508821107,0.000216267695163559
66,-2144134400,REFNO,23156.00,WARDAREA,Corcoran,56,56,0.0488913156735763,0.000134641378947766
67,-2144134300,REFNO,23157.00,WARDAREA,Bryant,57,57,0.0388018181659029,8.83476686284445e-05
68,-2144133300,REFNO,23167.00,WARDAREA,Kenny,67,67,0.0564078518886976,0.000189629957281275
69,-2144133400,REFNO,23166.00,WARDAREA,Armatage,66,66,0.0586785888877565,0.00021848977807274
70,-2144137700,REFNO,23123.00,WARDAREA,Beltrami,23,23,0.0354556959938306,6.7004920896867e-05
71,-2144135900,REFNO,23141.00,WARDAREA,Cedar - Isles - Dean,41,41,0.0709153089782637,0.000211452584675713
72,-2144135800,REFNO,23142.00,WARDAREA,Kenwood,42,42,0.0625978442049813,0.000194534142771462
73,-2144135700,REFNO,23143.00,WARDAREA,Lowry Hill,43,43,0.0571120382040117,0.000178684893901686
74,-2144135600,REFNO,23144.00,WARDAREA,East Isles,44,44,0.0444029274797008,0.000100482858098874
75,-2144136700,REFNO,23133.00,WARDAREA,Elliot Park,33,33,0.0454672299284828,0.000111924936793786
76,-2144136600,REFNO,23134.00,WARDAREA,Nicollet Island - East Bank,34,34,0.0437389870139901,7.40535294099231e-05
77,-2144136500,REFNO,23135.00,WARDAREA,Marcy Holmes,35,35,0.0768082651274664,0.000247211306916814
78,-2144139400,REFNO,23106.00,WARDAREA,Folwell,6,06,0.0520831823570031,0.000164707177656539
79,-2144139300,REFNO,23107.00,WARDAREA,McKinley,7,07,0.0556613326135135,0.000181090558167029
80,-2144139100,REFNO,23109.00,WARDAREA,Camden Industrial,9,09,0.0501952279921197,8.78377595139513e-05
81,-2144138900,REFNO,23111.00,WARDAREA,Columbia Park,11,11,0.107590843248026,0.000443130729029121
82,-2144138800,REFNO,23112.00,WARDAREA,Waite Park,12,12,0.0697380322437004,0.000261299224407971
83,-2144138700,REFNO,23113.00,WARDAREA,Marshall Terrace,13,13,0.0631539035430151,0.000207981256891097
84,-2144134900,REFNO,23151.00,WARDAREA,Whittier,51,51,0.0621462367877762,0.000239260056264589
85,-2144134700,REFNO,23153.00,WARDAREA,Lyndale,53,53,0.0481296990247719,0.000142858238271231
86,-2144135400,REFNO,23146.00,WARDAREA,East Bde Maka Ska,46,46,0.0456396284603939,0.000129533130234914
87,-2144135100,REFNO,23149.00,WARDAREA,West Maka Ska,49,49,0.0582733642374373,0.000196923497695038
